New PAW TMT results file!
Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_PAMI_GMCSF_A_TMT_20161027	Total_PAMI_GMCSF_B_TMT_20161028	Total_PAMI_GMCSF_C_TMT_20161031	Total_PAMI_GMCSF_D_TMT_20161101	Unique_PAMI_GMCSF_A_TMT_20161027	Unique_PAMI_GMCSF_B_TMT_20161028	Unique_PAMI_GMCSF_C_TMT_20161031	Unique_PAMI_GMCSF_D_TMT_20161101	Corrected_PAMI_GMCSF_A_TMT_20161027	Corrected_PAMI_GMCSF_B_TMT_20161028	Corrected_PAMI_GMCSF_C_TMT_20161031	Corrected_PAMI_GMCSF_D_TMT_20161101	PSMs_Used_PAMI_GMCSF_A_TMT_20161027	TotInt_126C_PAMI_GMCSF_A_TMT_20161027	TotInt_127N_PAMI_GMCSF_A_TMT_20161027	TotInt_127C_PAMI_GMCSF_A_TMT_20161027	TotInt_128N_PAMI_GMCSF_A_TMT_20161027	TotInt_128C_PAMI_GMCSF_A_TMT_20161027	TotInt_129N_PAMI_GMCSF_A_TMT_20161027	TotInt_129C_PAMI_GMCSF_A_TMT_20161027	TotInt_130N_PAMI_GMCSF_A_TMT_20161027	TotInt_130C_PAMI_GMCSF_A_TMT_20161027	TotInt_131N_PAMI_GMCSF_A_TMT_20161027	PSMs_Used_PAMI_GMCSF_B_TMT_20161028	TotInt_126C_PAMI_GMCSF_B_TMT_20161028	TotInt_127N_PAMI_GMCSF_B_TMT_20161028	TotInt_127C_PAMI_GMCSF_B_TMT_20161028	TotInt_128N_PAMI_GMCSF_B_TMT_20161028	TotInt_128C_PAMI_GMCSF_B_TMT_20161028	TotInt_129N_PAMI_GMCSF_B_TMT_20161028	TotInt_129C_PAMI_GMCSF_B_TMT_20161028	TotInt_130N_PAMI_GMCSF_B_TMT_20161028	TotInt_130C_PAMI_GMCSF_B_TMT_20161028	TotInt_131N_PAMI_GMCSF_B_TMT_20161028	PSMs_Used_PAMI_GMCSF_C_TMT_20161031	TotInt_126C_PAMI_GMCSF_C_TMT_20161031	TotInt_127N_PAMI_GMCSF_C_TMT_20161031	TotInt_127C_PAMI_GMCSF_C_TMT_20161031	TotInt_128N_PAMI_GMCSF_C_TMT_20161031	TotInt_128C_PAMI_GMCSF_C_TMT_20161031	TotInt_129N_PAMI_GMCSF_C_TMT_20161031	TotInt_129C_PAMI_GMCSF_C_TMT_20161031	TotInt_130N_PAMI_GMCSF_C_TMT_20161031	TotInt_130C_PAMI_GMCSF_C_TMT_20161031	TotInt_131N_PAMI_GMCSF_C_TMT_20161031	PSMs_Used_PAMI_GMCSF_D_TMT_20161101	TotInt_126C_PAMI_GMCSF_D_TMT_20161101	TotInt_127N_PAMI_GMCSF_D_TMT_20161101	TotInt_127C_PAMI_GMCSF_D_TMT_20161101	TotInt_128N_PAMI_GMCSF_D_TMT_20161101	TotInt_128C_PAMI_GMCSF_D_TMT_20161101	TotInt_129N_PAMI_GMCSF_D_TMT_20161101	TotInt_129C_PAMI_GMCSF_D_TMT_20161101	TotInt_130N_PAMI_GMCSF_D_TMT_20161101	TotInt_130C_PAMI_GMCSF_D_TMT_20161101	TotInt_131N_PAMI_GMCSF_D_TMT_20161101
17	1	CONT_092|gi|71528|pir||KRHU0 (+1)	CONT_092|gi|71528|pir||KRHU0&CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN	 	CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q9QWL7|K1C17_MOUSE	contaminant	39.1	593	59527	keratin 10, type I, cytoskeletal (clone lambda-KH10-5) [Homo sapiens].	95	83	0.874	18	24	28	25	16	20	25	22	17.323	22.933	26.646	24.323	16	215057.395629	475330.748168	240314.629699	367696.298095	539952.356323	378139.780639	321834.327393	385363.444032	319558.961913	553128.346923	20	212718.568909	388432.90381	239234.009889	232840.795717	194158.256167	230971.315796	137770.415773	229215.730043	201419.120972	180058.350463	25	451035.325503	303341.420714	323242.50699	296223.011381	212923.83789	1113448.7605	493520.724365	499652.78406	397000.838623	280695.562561	22	199035.692626	213972.052002	223854.574463	143455.088775	246174.571351	169608.575776	210528.015443	130042.970337	361398.181518	329512.904664
19	1	CONT_102|gi|88044|pir||S01068 (+1)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE	contaminant	6.6	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	5	0	0.000	1	1	1	2	0	0	0	0	0.000	0.000	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	1	CONT_156|gi|1363944|pir||JC4313	 	 	CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q9QWL7|K1C17_MOUSE	contaminant	13.1	473	51237	type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa].	17	1	0.059	3	6	5	3	0	1	0	0	0.039	2.046	1.043	0.039	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1136.124756	478.240509	476.002686	889.94635	897.162109	1070.010132	50.0	2533.842773	790.049194	840.581238	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	1	REV_A2ABU4	 	 	 	reversed	2.5	1439	161776	REVERSED.	3	3	1.000	0	2	0	1	0	2	0	1	0.000	2.000	0.000	1.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	83460.005859	58186.263672	77226.5625	136021.28711	64254.461914	84358.311523	57103.910645	62218.154297	38526.87207	36399.773681	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	5424.697754	7036.642578	8921.077148	8773.557617	5056.404297	9400.073242	6959.497559	15053.243164	11444.34082	9996.261719
25	1	REV_A2ASS6	 	 	 	reversed	0.2	35213	3906440	REVERSED.	7	7	1.000	2	0	3	2	2	0	3	2	2.000	0.000	3.000	2.000	2	86209.582032	87615.183594	80371.191407	73773.587891	81728.511719	93936.085938	76983.878907	83882.507812	70846.929687	71429.095703	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	234911.436402	175849.572876	183563.235626	200962.417969	249011.755493	155136.105469	399206.671997	100740.771974	214433.132813	154474.406372	2	455.450623	3256.499756	2360.543213	4855.131714	2783.153931	5980.879761	3169.380005	2053.786316	8825.796265	5845.127075
26	1	REV_B2RW38	 	 	REV_B2RW38, sp|Q8BR92|PALM2_MOUSE	reversed	2.3	873	103522	REVERSED.	4	1	0.250	2	1	0	1	1	0	0	0	1.167	0.000	0.000	0.000	1	36260.0	1390.245728	39574.992188	32135.34375	48924.164062	51059.660156	53471.6875	59598.851562	57391.488281	39261.058594	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	1	REV_E9Q414	 	 	 	reversed	0.6	4505	509426	REVERSED.	6	6	1.000	1	2	1	2	1	2	1	2	1.000	2.000	1.000	2.000	1	3421.94458	5566.529785	3575.508789	5913.766602	5676.865234	6142.352539	9288.608398	6235.041992	8583.643555	3592.26416	2	102086.34375	117460.5271	91025.711915	108724.27295	77087.898926	97359.880859	64985.785157	106483.869141	59981.346679	67051.595215	1	84285.523438	132445.234375	50903.703125	21563.148438	52295.648438	68872.367188	96477.8125	42608.859375	66901.601562	43192.222656	2	316717.449219	258262.867188	256896.726562	230290.988281	245790.257813	313423.285156	220999.648437	272505.710938	285199.742188	358391.289062
28	1	REV_E9Q557	 	 	 	reversed	0.8	2883	332908	REVERSED.	5	5	1.000	1	0	2	2	1	0	2	2	1.000	0.000	2.000	2.000	1	17213.728516	10625.230469	6212.478516	15091.445312	16365.607422	13814.728516	21891.550781	16612.853516	11540.520508	12560.957031	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	81196.296875	81216.335938	64643.496094	88068.96875	66474.84375	59788.789062	68989.351562	49686.78125	73867.117188	93919.953125	2	172192.476562	123158.117188	121265.660157	100919.144531	138283.855469	171892.773438	116123.921876	135549.359375	135825.539062	119753.929688
29	1	REV_O35551	 	 	 	reversed	5.8	862	99523	REVERSED.	6	6	1.000	1	1	1	3	1	1	1	3	1.000	1.000	1.000	3.000	1	28914.744141	32400.623047	39574.175781	34572.9375	35589.921875	36271.597656	34608.902344	31145.818359	25964.158203	32340.443359	1	3367.728027	2260.593018	2516.75293	2120.99707	2340.574951	5532.130371	2122.108154	2366.695068	4546.671387	6657.068848	1	3465.293213	1455.789062	2479.331543	2681.695312	4794.021484	4118.998535	4209.462402	3792.130127	5214.93457	10403.082031	3	200616.560059	115785.998168	101837.076172	139563.183106	133204.819488	203365.216797	116766.594726	152477.111816	104192.917542	133747.277466
30	1	REV_O88783	 	 	 	reversed	1.1	2183	247227	REVERSED.	3	3	1.000	0	0	3	0	0	0	3	0	0.000	0.000	3.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	10907.96582	2250.886749	8782.428954	6921.283813	8160.598999	11498.904664	7469.886841	8864.0448	9004.612304	17244.243316	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	1	REV_P11531	 	 	 	reversed	0.4	3678	425827	REVERSED.	3	3	1.000	1	0	2	0	1	0	2	0	1.000	0.000	2.000	0.000	1	79659.703125	2167.549805	44039.195312	47314.109375	71038.640625	48950.003906	52951.320312	51541.742188	35264.441406	90460.507812	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	164297.679687	197935.9375	76525.207031	258079.867188	125341.476562	172266.101563	227811.890626	164111.296876	169435.929688	78453.035156	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	1	REV_P39053	 	 	 	reversed	2.0	867	97802	REVERSED.	3	3	1.000	1	2	0	0	1	2	0	0	1.000	2.000	0.000	0.000	1	33435.175781	64772.460938	30209.240234	23998.699219	23144.728516	33093.964844	30332.740234	35851.367188	47582.570312	27109.253906	2	30974.324219	30140.441406	30338.707031	41969.796875	26698.689453	28217.132812	20434.091797	24611.591797	16339.042969	25068.912109	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	1	REV_P40201	 	 	 	reversed	1.0	1711	196382	REVERSED.	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	15373.098633	12513.259643	11682.299073	17411.196411	12109.596618	14187.358643	14385.321289	19859.900391	16940.064453	19499.371094	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
